玩家评价,是否推荐,游玩时长(小时),觉得有价值的人数,觉得好笑的人数
"8.5/10
平稳落地的续作，依然延续了前作优秀的框架，只需填入更加丰富的内容即可。

+抢先体验的完成度已经较高，一层有两种地图，可选角色比前作更多并且解锁更快，每层开始前也有新的强力增益可以选择
+多人模式的加入相当不错，大家可以互相沟通协作爬塔，和朋友一起玩有趣程度翻倍
+数值整体保持平衡，虽然仍有调整空间但没有大的崩坏情况
+剧情更加完善，人物设定得到补充

+-比起续作更像是一代的大型dlc，变动不是太大

-美术和音乐方面提升很小，对这种级别的作品来说有点拖后腿
-多人模式的怪物调整比较粗暴，单纯的数值和buff翻倍
-多人模式没有局外打字或者语音的情况下局内沟通不便
",推荐,19.1,0,0
推荐，平衡性待更新，续作合格,推荐,4.8,0,0
毋庸置疑的好玩，美术风格和文本更是深得我心，还补上了我最爱的世界观设定，我要爱死他了（不过还是想要黑皮美少女猎宝啊啊啊）,推荐,15.4,0,0
非常好战宝猎宝君宝骨煲鸡煲，使我进阶等级旋转,推荐,24.0,0,0
更有肉鸽的局内成长的爽感了，塔1的三元老平衡都很不错，两个新角色感觉还要再打磨下,推荐,41.4,0,0
新的卡牌，新的角色，新的联机模式，还有新的鸡煲笑话，make 鸡煲 great again,推荐,23.0,0,0
不错，赶快上一下创意工坊，然后联机的时候能和队友多一些交互就更好了。联机模式怪物的数值感觉有点离谱，直接都是双倍，有点难打,推荐,10.8,0,0
"玩得没停，太好玩了，储君我喜欢你。
顺带一提塔2的鸡煲也太可爱了鸡煲控必入（入游戏不是入鸡煲）",推荐,43.0,0,0
卡牌肉鸽的神，无需多言，加了联机更是神中神，可惜鸡煲修炼1000年回来已经不再是尖塔第五强的角色了，然而还是逃不脱被辱的命运,推荐,28.5,0,0
当前版本的数值有待商榷，特别是联机模式下的数值，敌人的有些数值提升能给难度带来质变，但是确实不错,推荐,25.4,0,0
"好玩
鸡煲终于
鸡煲终于不是塔2
鸡煲终于不是塔2倒数第一强的角色",推荐,36.4,0,0
"爽感比肩1代，就是里面有些卡太超模了（居然有不消耗的灵体）
还有机煲真好玩
还有机煲真好",推荐,13.4,0,0
超雄小怪和精英，但是数值提升比一代的爽感强了更多，遗物和事件可能一波翻盘,推荐,51.7,0,0
"三层膨胀太多了吧，不胡基本过不了啊，淦 
这种游戏看了攻略卡组又没意思了",推荐,21.0,0,0
平衡性方面还是略有问题，不过已经超过尖塔1的ea版本（2017.11）的平衡性了，整体来看我觉得和尖塔1最后的平衡性（除去观者）还是相差不小，差不多属于一代正式版刚发售时（2019.1）的平衡程度,推荐,55.3,0,0
玩过1，感觉2比1入门简单一些，对新人玩家更友好一些，感兴趣的朋友可以无脑入，很容易上头的，多人游戏还没体验，不做评论。,推荐,14.9,0,0
从一代玩到现在，看到尖塔 2 真的泪目。熟悉的味道，更丰富的体验，美术动画全面升级，事件与遗物设计更有趣。单人依旧上头，联机直接打开新世界，队友互保、combo 联动，把孤独爬塔变成快乐团建。不炒冷饭、不搞内购，88 块买到顶级乐趣，这才是玩家想要的续作！,推荐,20.6,0,0
"作为一代全成就老玩家，二代 EA 版玩了二十多小时，五个角色都打通 A0  A1了。

鸡煲反而是玩起来给我感觉最强的，难道鸡煲真的已经启动完毕了！不知道观者大人是否还会在正式版登场了。

总之，还是熟悉的爬塔味道，新角色新卡牌很有新鲜感，玩法框架没变但体验更顺。目前小问题有一点，但不影响核心乐趣，整体挺满意，非常期待正式版。",推荐,42.8,0,0
挺好玩，画面精度和动效相比一代进步了非常多。从玩法上来讲，经过再次设计，角色的玩法相对于一代做出了很大幅度的改变，而且添加了很多种流派和玩法，整体环境也因为怪物设计和一些底层逻辑的更改和增加大幅提升了可玩性。不管玩没玩过一代，二代都是很不错的游戏，不用担心玩过一代就会觉得重复，是值得游玩的。,推荐,43.9,0,0
优点1：肉鸽部分依旧优秀，附魔机制也很不错，缺点就是附魔来源看事件，无法在商店获得。优点2：联机稳定，联机机制也不错。优点3本地化很不错。缺点1因为是抢先体验的关系吧，有些卡牌和怪物的数值填的有点随便，尤其是联机人数一多，部分怪的数值就有点过高了，需要调整比例。其实卡牌数值还能接受，主要部分怪，像是花园幽灵鳗啊什么的，数值太变态了。小怪的强度也有点高。缺点2就是bug蛮多的，比如说我在拿到增加四个药水栏的事件的时候，再拿到增加两个药水栏的遗物（此时我有8个药水栏），进入宝箱关卡，会出现只有我可以进入宝箱关卡，而联机伙伴黑屏的现象，不得已我们只能sl，然后我放弃了这个2药水栏的遗物得以游戏继续。我不喜欢向官方反馈bug，这个bug以此留下评论吧。,推荐,43.0,0,0
二代在一代上添加了很多内容，只要游戏本质玩法没变就一直都好玩，显然制作组是明白这个道理的。,推荐,21.3,0,0
好玩，但双人打的话强度有点高。前期容易暴毙。,推荐,22.2,0,0
好玩，但给boss奖励加个跳过选项吧，真的不想对着恶魔领主的三个“奖励”面露难色了,推荐,41.0,0,0
卡和怪体感上强度都比1代提升了一点，联机体验非常优秀，和一代的mod类似,推荐,33.4,0,0
很好玩很有诚意，希望后续多增加联机时候每个玩家互动的卡牌。地图方面可以适当做一些差异，基本三个阶段除了怪物强度之外并没有地图方面的区别，可以设置一点地图环境要素,推荐,22.7,0,0
6号上线早晨买的，虽然是抢先版，虽然还有很多不平衡，但还是给予顶级卡牌肉鸽的评价，买就完事了。,推荐,14.2,0,0
好玩，爱玩。比起塔一可能数值没那么精妙，但是多了很多的新卡牌新事件。,推荐,32.5,0,0
好玩啊，就是好玩，你应该放弃市面上所有的游戏，来体验这一款旷世神作,推荐,16.4,0,0
希望有字体调整大的按钮，deck上完全看不清牌上的字。。。,推荐,22.2,0,0
最好玩的卡牌肉鸽游戏，一玩就是几个小时,推荐,32.2,0,0
"对于这种极其精简的游戏，实在是不好像之前那样多角度给分，评价它的音乐美术剧情等等感觉没什么意义。
作为让大家等了这么多年的续作，实际上更像是一款大型dlc，也像是打了很多mod的1代；但底子在那它就不可能差。多人模式的加入也绝对是全新的体验（这年头能开黑的“单机”游戏有多香懂得都懂，1234:56除外）。
总体绝对可以给到90分以上，绝对值得一试，卡牌肉鸽界一座还在不断增长的高山，不停流淌的长河。",推荐,44.4,0,0
刚玩三小时解锁储君，第一次玩这类游戏，各种流派还有那种离谱操作都是怎么打出来的,推荐,7.3,0,0
好玩，多了故事线，就是太菜了，可能看不到后面的，牌一抓就一大堆，以及两个新角色，我玩了储君挺有意思的,推荐,21.6,0,0
很好玩，卡牌构筑比上一代更加丰富了，单人模式下怪物的数值还是比较合理的，但多人联机的数值就比价离谱了，我一代在移动端玩了有两百多个小时，但在带着两个新手朋友联机的情况下居然连一层的爬不出去，双人联机的怪物数值居然是乘三倍，我觉得太离谱了，还有一层的一个次数盾boss是不是太离谱了，在没拿到多段牌的情况下基本无法战胜。这些都是基于多人联机下的觉得对新手不友好的体验，别问为什么没说第二层甚至第三层的情况，我和朋友联机打了五六局都只有一次能够离开一层，后面的内容根本体验不到。希望能削弱一下联机时的怪物数值，因为联机是为了和新入坑的朋友一起玩的，太难了大家都没有体验,推荐,42.8,0,0
"游戏保持了水准，在线模式喜大普奔
作为使用GODOT开发的游戏，将会成为游戏开发者社区新的典范
特效，动作流畅，学吧就
",推荐,6.6,0,0
"希望塔2能让鸡煲再次伟大
希望塔2能让鸡煲再次伟
希望塔2能让鸡煲再次",推荐,20.5,0,0
优秀的数值设计是卡牌肉鸽不可或缺的一环，毫无疑问《杀戮尖塔2》在这一点上做得相当出色。,推荐,20.4,0,0
"塔塔开！
数值膨胀后，时间机制反而设计的不够有趣",推荐,44.7,0,0
"鸡煲是最好玩的角色
鸡煲是最好玩的角
鸡煲是最好玩的
鸡煲是最好玩
鸡煲是最好
鸡煲是最
鸡煲是
鸡煲
鸡",推荐,19.1,0,0
一代的进化版，我觉得二代游戏的正确打开方式，不要搞什么颠覆性创新，就是在一代基础上升级画面和玩法就可以了,推荐,20.1,0,0
"好玩爱玩，鸡煲终于不是最弱的职业了
子程序能力鸡煲yyds，冰鸡煲yyds！",推荐,29.9,0,0
不知道啊，我才玩几个小时，这个游戏怎么这么难啊,推荐,18.7,0,0
"小怪全尼玛是一山更比一山高的高手，既有刀刻般的数值又有神秘拉满的机制。塔一喜欢冲精英的习惯给我治得服服帖帖，火堆是老家问号是新家，怯战蜥蜴到三层拿了先民buff再垃圾也能起飞。

当你觉得自己卡组平庸尚可一搏的时候你会被精英当路边一条摁死，当你觉得自己卡组不错的时候你会被精英暴打，当你觉得自己卡组胡了的时候会被拉一波大战损，而当你觉得自己能把塔碾压成省流版时才能完美通过，这就是我们塔2的数值膨胀啊",推荐,32.9,0,0
比一代好玩太多，另外原始天尊战士和三体人亡灵，储君真的是一个游戏里的吗，灾厄铸剑的强度有点太轮椅了,推荐,24.2,0,0
超级好玩捏，好玩得jb旋转，和1比较最大的优势就是可以联机，但没有最珍贵的游戏搭子就没招了,推荐,33.1,0,0
"好玩，联机很舒服。但要是能给队友传钱就完美了
Good game, Perfect multiplayer if I can pass coins to my  cute teammates",推荐,16.5,0,0
"It doesn't reinvent the wheel—because it doesn't need to. This is simply the best deckbuilder in the world, but now with better graphics and even more ways to break the game.",推荐,16.7,0,0
非常好玩，但是EA阶段数值还需要平衡。不说了，工位卡我启动了。,推荐,27.5,0,0
谁不想在上学上班累鼠的时候来上一把香香软软的鸡煲，开始卡运转呢，打完几层难度发现，月亮走了，是不该赌的悔恨的黎明,推荐,11.4,0,0
数值有问题，特别是到第三章。胡了随便玩玩，运气稍微差个两三把这局直接没了。没事玩个一两把无法保证每局体验下限。,不推荐,6.5,0,0
"一代老玩家，除了画风和一些美术不如一代，动画和流畅性，事件流派等都比一代强，但是很多卡牌敲完后意义不大需要做的平衡还很多，希望制作组加油吧，总的来说很值得入


",推荐,31.1,0,0
"感觉二代比一代机制更多，更有意思，老角色也有新玩法
联机绝对是最好玩的创新有没有懂的，最好多加一个伤害统计，看看谁尽力，谁犯罪，谁的打法不团队
鸡煲只要在后面放放等离子就够了，而其他人要考虑的就很多了",推荐,17.9,0,0
画风和前作相比，猛一看感觉怪怪的，细一看，怪怪的也挺好。,推荐,23.9,0,0
相较于前一作没有太多改变，但很多地方有了更好的设计，期待太高可能会失望，新玩家可能会更喜欢,推荐,13.2,0,0
"目前游戏时长24小时，登顶两次，个人体验下来，前期卡牌和遗物未解锁的情况下难度比较大，有些需要成体系的角色很难达成通关的条件，比如刺客，毒药流和小刀流前期没有关键稀有卡构筑，导致面对上百血量的敌人激情刮痧，只能靠前期摸奖的遗物支撑，整体感觉特别像死亡细胞，需要先死一死攒经验，解锁技能才能跑得更远，并非爽游，相比前作的快感，至少前期更需要小心翼翼计算药水和各种收益及诅咒之间的取舍，我作为前作的死忠，十分认可画风和玩法，但是这个起手难度，让给新手的感觉就是夏侯惇看路易十六，一眼望不到头，容易陷入类似死循环：

【我想自定义游戏爽爽刷】→【你要先在正常难度通关三次】→【前期没有卡牌和遗物构筑】→【痛苦折磨继续趴正常难度】

总结：想爽就要先经历痛苦，如果老贼游戏没通过关，不是十年老M，建议观望下，我的推荐完全是给可爱的小机器人，还有不休陀螺的！！！！！！！！",推荐,37.6,0,0
在不更改整体的玩法上有一些小的创新 这或许就是杀戮尖塔续作应该有的样子,推荐,43.2,0,0
双人模式会将“选择丢弃/消耗一张牌”卡bug为“随机丢弃/消耗一张牌”,推荐,5.0,0,0
"总结：推荐这个游戏
尽管当前游戏处于抢先体验阶段，但是目前爬塔的体验已经具有比较高的可复玩性。
当前游戏时间为33+小时评测，进度为解锁当前版本0.9.的全部时间线。
进度为战士6，猎手5，储君3，亡灵2，机器人3。

每层严格来说都有2种不同的难度，以当前层的宝箱为分割。特别是第一层，感觉非常明显，当你在第一个宝箱过后没有初步的体系/血量你可能打不过后面的第一个精英怪。
5个职业，每个职业至少有2种主流比较好成型的玩法，如果加上特定的随机事件，那职业的玩法则会更多。
一时半会都玩不腻啊。

抢先体验的缺点/bug：1.mac和win11都有玩，碰到过3-4闪退。（没有规律）；2.缺少成就系统；3.图鉴的易用性方面，希望有搜索/筛选功能，能更快的找到需要的遗物；4.除此之外能不能有个战斗的快速重开啊，有时候回合/药水/消耗卡牌的不同选择都可能造成不同的结果，在特定的情况下可以打过（而某些情况下则需要重开）",推荐,63.9,0,0
"神作的延续，板载！
继承了杀戮尖塔1的精神骨架，但内容更多，牌组构筑更复杂，数值提升到爽游的地步，刚发布即买的典型好货。有1套装购入可以省10%左右。",推荐,16.5,0,0
"1代大多时候玩的鸡煲 2代上手之后也是迅速去打了鸡煲的a10
a7之前感觉难度较低 但是到a8 a9迅速上升 有了1代a20的感觉

只评价鸡煲的游玩体验和数值来说设计的还是不错的

多人模式的话bug稍微有点多 希望尽快修复 ：）",推荐,30.0,0,0
叠个甲，首先游戏很好玩，但是手柄体验很差。在地图界面看不清楚自己所选的地点，还有标记地图的时候只能右摇杆（还是八向），局内你点到装备或者药水的时候没有明显的提示，并且不知道为什么没法回位到选牌的地方，建议局内弄个光标绑在左摇杆，可以更自由选择药水卡牌等,不推荐,13.6,0,0
"玩了一个周末，单人偏商务，多人偏运动
好玩但是平衡性有待调整，超模卡偏多而且有点看不出三层怪考验什么
三层boss疑似偏弱依旧红色格挡条拖启动
目前还是流派没有端口说法，上头
期待怪物调整和四层更新",推荐,62.6,0,0
"好玩，无需多言，有朋友更好
期待未来正式版的更多内容，目前还是差点意思，但就个人而言是觉得好玩的",推荐,20.9,0,0
体验挺好的，但是在游玩过程中出现了闪退（目前只遇到一次）,推荐,7.5,0,0
"10/10
这就是续作该有的样子啊，肉鸽卡牌最高的山最长的河",推荐,23.4,0,0
家中三台电脑，两台台式机无法打开游戏，加载阶段秒退，已经重启重安装后无改善，闪退后第二次打开游戏进入漫长“正在打开”状态，最后仍无法进入游戏。只有第一个安装游戏的老笔记本电脑可以玩。三台电脑都是win10系统。,不推荐,28.4,0,0
随机房间基本都是正面的，很舒服，怪物也更新了，整体来说很好玩。游戏启动有点慢，可能还需要优化一些。,推荐,7.4,0,0
"好玩诶小时候就想玩这个游戏现在自己有电脑了也出第二部了就算为了小时候的自己买单了
",推荐,20.1,0,0
"豪游戏，待打磨，期待后续更新
",推荐,8.1,0,0
到达肉鸽卡牌世界最高城尖塔！太美丽了尖塔，哎呀这不马拉松吗？再看一下远处的尖塔1吧家人们....,推荐,28.3,0,0
很好玩啊！尤其是加入了联机模式，虽然在塔1也也玩过联机，但是塔二联机更有趣味性，加了很多联机卡牌，不过两人联机的怪也太超模了啊喂！老角色加入挺多不一样的卡牌，还有两个新角色可玩性也很丰富。增加一些补充剧情，很有意思，剧情的画面也很好看，不错不错！,推荐,23.1,0,0
"虽然《杀戮尖塔》有着从进阶0到进阶20的难度选项
但是对于高端玩家来说
即便是最高的进阶20难度仍然会觉得意犹未尽，过犹不足。
那么，如何再增加难度呢?
答案就是往团队里加鸡煲！
由此可以行生出鸡1到鸡4难度。
如果带着好几个鸡煲都能赢，那绝对会带来极高的挑战性和成就感。",推荐,31.7,0,0
"整体如同1代的大型DLC，是一部锦上添花之作。
当然，对于尖塔这样的作品，能够水平不倒退地继续推出新内容本就足以回报玩家的期待了。
量大管饱，值得一买，玩的很爽。联机更是大大加成了游戏寿命和社交属性，很明智的优化。期待完整版的更多内容，杀回塔底淦特么的臭鲸鱼",推荐,17.1,0,0
神的续作依旧是神，在无数优秀游戏里优秀的那一个，爽与牢，无脑与过载，难度，耐玩程度，美术风格都是那么的带劲。,推荐,20.0,0,0
现在已经很好玩了，希望等更新完整，开了创意工坊后更好玩,推荐,18.4,0,0
如果只用几个字来评价2代那必然是“好玩、上头”。更加丰富的遗物和药水，更多不同作用的卡牌，更强的卡牌联动性。哪怕你没玩过1代，你也可以毫无阻碍地上手2代并且迅速沉浸其中,推荐,27.0,0,0
杀戮尖塔天下第一！！！卡厄思梦境路边一条，不对 是区,推荐,26.6,0,0
夯爆了！！！！这一代的抓拍和爬塔的思路与一代不太一样，对启动的要求没有一代高反而更注重卡组上限，虽然感觉上没那么平衡但是玩起来想象空间丰富了很多。一代的角色优化了卡组去掉了很多废卡加入了新的玩法，二代的角色目前平衡不是很好但是玩法比较新颖，说到这里优点已经很多了，更别提加入了海量的新事件。一不小心就玩了十几个小时，这就是我想玩到的杀戮尖塔2！！！！！,推荐,17.8,0,0
虽然很好玩，但是多人模式还是太同质化了，希望后面可以多出点配合卡，以及前后排的区别,推荐,27.9,0,0
好玩到炸了，如果有玩多人的朋友，你们可以选一个人当祭品，有个事件可以一直掉生命上限升级牌，直接减到只剩1滴血，你的队友牌就特别好,推荐,32.4,0,0
"硬核卡牌游戏杀戮尖塔的续作，杀戮尖塔2堂堂登场，继承了前作的原汁原味，加入了两个新角色储君和死灵法师，还有全新机制的小怪们，依然是极致的策略卡牌游戏，死灵法召唤机制的加入，让爬塔变成养宠的旅程（我说这是自带堡垒防），同时还解锁了更多的剧情，xdm塔底的大鲸鱼涅奥是坏哒，撺掇我们来摧毁高塔，其实一切都是因为她嫉妒高塔的建造者（对大鲸鱼是母的），其实前作我都没怎么玩，还不会玩，见牌就抓，路线走一步算一步，直到尖塔2的发布给了我一个重新了解它的机会，现在我已掌握烧牌过牌构建无限，sl打乱排序世界线，已经是爬塔高手啦（bushi）。同时老角色也得到了不小改动，感觉战士哥没有一代帅呢，猎人现在各种流派都能玩，还有鸡煲真王朝了吧。
我已启动
我已启",推荐,35.1,0,0
很想给没玩过塔1的塔友讲讲这代是怎么做到保留半数原卡也能做到玩法创新和优化的，目前还是ea，继续加油！,推荐,34.3,0,0
一如既往的好玩，什么时候开放创意工坊，下载的联机查DPS的mod把我a10存档删了，鸡煲不让我查数据太坏了,推荐,44.0,0,0
联机模式的体验还可以，很流畅，一点不卡顿，人多了之后感觉游戏更好玩了，还可以吃配合，但是有些怪物联机之后的数值还不够合理，希望在未来的时间慢慢完善。,推荐,23.7,0,0
最伟大的多人模式，再怎么样的bug都无法掩盖那最强发明，多人sl，能在联机里面sl真的是太爽了,推荐,29.8,0,0
看清楚了，這才叫做搶先體驗，内容放出來已經足夠玩而且很豐富,推荐,11.4,0,0
延续一代的经典玩法，游戏寿命极其漫长，买了会玩绝对不亏；二代的数值平衡存在问题，期待官方继续优化更新；而且目前只是半成品，还有许多原画没有更新，较为简陋，新人玩家需谨慎购买，推荐更便宜的1代。综上所述，老玩家还是给出好评，期待继续更新。,推荐,43.0,0,0
非常舒适，储君大爆炸+复制+复制玩偶让我大脑旋转,推荐,9.1,0,0
"数值平衡有点小瑕疵，感觉部分单卡的强度有些用力过猛，部分职业的某些机制有些过于臃肿（请写作并说明为什么铸剑体系的单卡应该滚出储君卡池，不少于500字）。
剩下的全是优点，尤其是联机模式好玩疯了。希望随着后续的更新，塔2的内容能越来越多，数值平衡能越来越好。",推荐,33.9,0,0
"多人纯粹的数值碾压，有的怪真的打不过就是打不过，没有猎人帮忙一次破人工就得一层一层挂易伤和灾厄，还有喜闻乐见的鸡煲启动慢环节（小黑变精英怪不是没理由的）
卡池变动不算特别大（虽然强推了战士和鸡煲的新流派，但是猎宝玩着其实差不多），敌人的强度全在塞牌，减伤，摇人和debuff（当然了老头真回来我肯定不乐意了，目前除了二层猎人杀手还没有几个像老头一样拦腰把很多无限斩断的）。
事件和先古之民发的奖励有待平衡，有的遗物德不配位，有的遗物又变态得过分（切肉刀起码能删4还加血，又比如不消耗得灵体+，我承认打出来很爽但是确实过分了）。
还有个悬念是怎么打真结局，期待进一步更新吧。在此之前我还是会品一品鸡煲的强度的（虽然集中冰挂机流确实少了，但是换来的漆黑和冰寒加强等等确实不错，目前一堆塞牌小怪强制鸡煲抓对策牌有点蛋疼）",推荐,50.5,0,0
太好玩了，昨晚跟朋友联机玩了6个多小时，两个彩笔中途死了无数次，终于最后一把我天胡弃牌猎宝成功带飞。虽然很好玩，但感觉数值还是有问题，联机血量膨胀的太夸张了，我说二层小怪比精英难打，精英比boss难打有没有懂的O_o总体还是推荐买，尤其是喜欢卡牌肉鸽的玩家不可错过的好游戏！,推荐,25.6,0,0
"好玩，个人感觉相比塔1最大的变化是局与局之间的方差变大了，卡牌附魔，先古之民这俩时不时能刷出来很逆天的东西。确实比塔1爽了不少但是感觉会比塔1更吃运气一点。
还有就是多人模式一些怪的数值绝对需要调整，比如一层四个鳗鱼的精英怪玩多人如果aoe不是很多的话打不了一点。",推荐,62.9,0,0
你说的对，但你怎么知道我铁甲战士22张牌中有7张过牌 3张加费  5张烧牌，烧干净后，小循环叠一百多层盾给肚皮，然后重殴烧肚皮，重殴直接变成两百多乘2的，一拳给门扉创造者打开线的,推荐,31.6,0,0
塔2现在的设计偏流派化了，且本质利好攻杀，战士刚爬到a10，个人感觉防御端的缺失导致一层只能蠕动，反而蠕动完抓到key牌就很好打。还是有待改善，希望制作组也不要忽视防杀战士的玩法，继续打磨。,推荐,26.2,0,0
爽，好玩，比1代好玩，1代基本就这些玩法，后面都打mod玩了，2代开荒太有意思了,推荐,19.6,0,0
"很难不玩,虽然还点问题但是已经足够让人觉得好玩了期待正式版!",推荐,62.8,0,0
"《杀戮尖塔2》Steam峰值超57万，是前代游戏的10倍，已成为2026年迄今首发在线最高的游戏。目前PC平台独占，目前仍处抢先体验阶段（该状态预计将持续至少一至两年）。

游戏最多支持四人合作模式，提供五位可玩角色，其中包含两位新角色——死灵缚者与摄政王。承袭前作精髓，玩家将穿梭于梦魇尖塔之间，通过路径选择与卡组构筑迎接愈发严峻的挑战。

除彻底超越首作外，本作也大幅领先于《艾尔登法环：黑夜君临》（313,593）、《Megabonk》（117,336人）、《饥荒联机版》（115,925人）及《哈迪斯2》（112,947人）。考虑到《杀戮尖塔》初代在1.0版本发布数月后销量即突破150万份，期待续作的销售表现。",推荐,21.5,0,0
好玩！ 爱玩！ 虽然EA阶段还有一些比较小问题，比如阴间小怪，意义不明的卡和遗物等，但是趣味性一如既往的强。好玩才是塔的核心，每次玩都有新收获。,推荐,17.4,0,0
机制量大管饱，数值仍需打磨，绝对未来可期,推荐,63.8,0,0
"神，数值平衡还没做好的卡牌游戏才玩得爽，全是超模单卡抓到就赢
什么时候出观者，给那些rz单卡全踢飞然后神格大补强，没有观者玩的日子我好伤心啊",推荐,44.9,0,0
"好玩。本来就好玩，又能联机，就更好玩了。强烈推荐。
你说这个游戏怎么就不像别的rougelike游戏玩起来有点吃屎到后期不爽的感觉呢，谁设计的呢这玩意
nb",推荐,26.4,0,0
 比起塔一趣味性提升了很多，但毕竟目前是先行版，好多平衡性还是没做好，但最重要的是，我的喜怒无常紫皮人还有复活的希望吗,推荐,26.4,0,0
怪物比1吓人了许多，新角色目前只玩了一把还没搞懂，新卡牌挺多的，战士终于增加易伤牌了！！,推荐,9.9,0,0
卡牌构筑rogue-like永远的山塌了，现在是永远的山上的永远的山，你们的王回来了。,推荐,14.3,0,0
"很不错，个人感觉比一代要更好玩一些。
有个别地方汉化有bug，同一个事件偶尔遇到了英文，比如有个三选一事件叫茶艺大师：花费50金币...，或100金币...，或加两张废卡。",推荐,24.8,0,0
玩了10个小时，还没打通一次，血压有点高,推荐,15.4,0,0
"目前只玩了战士，易伤可以自成流派，比原来多了两张加费卡，作为无限组件很舒服。
值得一提的是现在的随机事件更为丰富，作用也比以前大，很容易从中找到制胜关键，盘活困局。
原以为是在前作的基础上进行表现升级，结果增加了很多有意思的改动，制作组很用心。",推荐,44.1,0,0
感觉相比于前作来说节奏快了不少，比起塔一，塔二的boss更能给我带来压迫感，尤其是第三层的女王，那个负面效果太变态了，给只会无脑抓强牌的我一记重拳，伤害高又有数值，如果一回合没有打死她，那个负面效果就会一直恶心你，希望这个boss改改吧。还有这一作感觉鸡煲强了很多，至少我打到n4是没有太大压力。反倒是新角色储君感觉是新一代鸡煲，前期特别难受，不停战损，不停睡觉。感觉操作难度很大，但也有可能是我没玩明白。虽然现在还有各种各样的毛病，但我相信制作组能够好好优化和更新，为我们带来一个不输于塔一的卡牌肉鸽作品。,推荐,17.1,0,0
"[h1]肉鸽卡牌最长的河[/h1]

一如既往的好玩！

保守的续作是对的，在1代的基础之上新增了一些新机制、角色和多人模式。

但有些遗物和牌有些超模了，还需要再调整一下数值。

[strike] 多人模式有些道中怪比boss还难处理，说的就是你花园鳗 [/strike]",推荐,31.1,0,0
很杀时间，非常容易进入心流状态的游戏,推荐,18.6,0,0
"再说一遍，鸡煲不是区😢😢😢

啊，不好意思，我集中全掉了😊

再说一遍，鸡煲不是区😢😢😢

啊，不好意思，我集中又全掉了😊",推荐,31.0,0,0
好玩，本来吃完晚饭准备写论文的，打开塔2小玩一小会，再抬头一看天已经亮了,推荐,32.0,0,0
"塔1双端600h玩家塔2初体验：
敌人，事件，BOSS全部重做，新角色，新机制，战猎机也有近半数新卡，初见游戏体验拉满
角色上限卡更多，运转能力普遍比塔1强，怪物机制血量也大膨胀，交互感更强，玩起来爽感更足
每个角色的单卡变多，特定白卡出率都不高，像贼拿不到杂技，机器人没有全息内核，更考验对整个牌池的理解
联机也是一大亮点，比塔1的联机mod更稳定，体验更好（没人能拒绝几条绿色的区一起蠕动）
塔2数值还不够完善，像亡灵的灵魂牌强的可怕，无色金3c7覆甲敲后9覆甲又太菜
总结：塔2内容可玩性远超塔1，尽管ea阶段有一些bug，数值问题，但瑕不掩瑜，加以打磨，完全有机会成为超越塔1的又一座大山，对于喜欢玩塔1的玩家可以无脑入",推荐,31.9,0,0
一切都很好，只是那坨精英屎能不能改改造型...太恶心了,推荐,38.3,0,0
非常优秀的续作，内容丰富了不少，设计还是一如既往的不错，比一代好玩一些。希望持续调整平衡，更新新内容。,推荐,39.0,0,0
"是最爱的故障机器人
是最爱的故障机器
是最爱的故障机
是最爱的故障
是最爱的故
是最爱的
是最爱
是最
是",推荐,39.6,0,0
"我天天玩也没见上瘾啊
没多好玩吧，每天玩玩就够了",推荐,35.9,0,0
"3月6号：打牌
3月7号：打牌
3月8号早：道长啊道长，你怎么只能顾着打牌忘记了其他游戏呢，你看看你库里的其他游戏开了坑还没打完呢，不能再这样下去了
3月8号晚：反思完了，打牌
3月9号：我鸡煲启动了",推荐,63.1,0,0
相对于初代二代更有挑战性，具体体现在机制怪更多，其实数值怪也不少。二代也有官方联机了也更耐玩了,推荐,16.5,0,0
总感觉每个特殊层级都见过，重复性相对高，只希望正式版内容更多，新的非对战层级表现力很好，有了很多新机制与玩法，不过玩着玩着想睡觉Zzz,推荐,24.5,0,0
游戏确实好，好的没话说，但是杀戮尖塔2怎么到现在还没有成就栏？我还要全解锁呢！！！！！！,推荐,21.4,0,0
从一代过来的，虽然不是高手，但真的觉得非常好玩，如果有机会，大家一定都买来试一试。当然需要是喜欢卡牌游戏的玩家。,推荐,7.1,0,0
"玩鸡煲走在路上被三点三点地蹭血 一个鬼抽就是10多点 这还是不打精英的情况 打完了只能从三张略比打防数值高一点的白牌选 蓝牌没有体系约等于打防 低进阶还好高进阶全拿放防牌都防不住对攻感觉只能死的更快 高进阶玩起来很痛苦 等mod了（
原来是鸡煲太弱了 猎人死灵前期随便抓几张白卡就能猛猛冲精英 进阶10也挺简单 还是得冲精英拿有运转的体系卡（",推荐,46.6,0,0
"能打败尖塔1的，只有尖塔2。

美中不足——现阶段遇到好几把打到中途卡死无法继续进行只能重开，有丶影响体验，别的都很棒",推荐,47.4,0,0
"翻转了鸡煲真成最强角色了，这电流相生真有数值吧。
事先说明下，观者你才是挑战者哦",推荐,9.4,0,0
"非常好的游戏，但现阶段数值仍然存在问题，进阶10小怪和精英强度过高，一层boss如瀑布巨兽就急需调整，对猎人而言如果不是天胡发牌，基本遇到就是死局，建议将猎人初始卡组改为四张打防，否则猎人太多死局了
",推荐,36.4,0,0
数值还是有点糙，但是玩法OK，等更新。,推荐,60.4,0,0
